Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=86bc364821447426,Account Manager (m/f/d),Elektrobit Automotive 대한민국,,positive long- term business relationships... each opportunity and strategically long- term You will lead the quotation process...
https://kr.indeed.com/viewjob?jk=ed9230593c7fc6a0,Content Marketing Intern(Slide/Germany),하이퍼커넥트 서울,,production tools Position Type/ Expected Hours of Work Fixed- term internship (3 months) Monday – Friday (10:00 – 19:00...
https://kr.indeed.com/viewjob?jk=f489a39bfb256d1f,Systems Admininistrator (1 year contract...,Synopsys 대한민국,,"veteran status, or disability. Job Category Info Technology Hire Type Defined Term Emp. Country Korea, Republic of"
https://kr.indeed.com/viewjob?jk=a47c267e66785eb2,MFLC Child and Youth Behavioral (CYB) Co...,"Strategic Resources, Inc. 대한민국",,greatest assets... single greatest factor in our long- term growth and success... our employees. When you join SRI...
https://kr.indeed.com/viewjob?jk=1ba3c519079770df,KR_HP_RA specialist (Temp),Boehringer Ingelheim 4.1 대한민국,,"animals... family owned company, we focus on long- term performance. We believe... we have talented and ambitious..."
https://kr.indeed.com/viewjob?jk=fd65333dc9da7e6c,"Partnerships Manager - Agency, Korea",TikTok 서울,,functional teams to improve the efficiency and build long term growth. Qualifications 1. BA/BS degree or above. 2. 4-10 years...
https://kr.indeed.com/viewjob?jk=0643993176447db8,Marketing Specialist,Stryker 서울,,sales team and other counterparts to achieve short/long- term sustainable growth Executes marketing activies Critical success...
https://kr.indeed.com/viewjob?jk=101d699126fc0238,"Victim Advocate, FASS",Magellan Health 대한민국,,offending caregivers about the dynamics and possible long- term consequences of child abuse Assess family needs and encourage...
https://kr.indeed.com/viewjob?jk=1309da7d5b0023f7,Marketing Manager - Korea,AVEVA 서울,,Korea’s business vision for short terms (2-3 year) and longer term (>3 years) Tactical (i.e. Demand/Pipeline Generation...
https://kr.indeed.com/viewjob?jk=5ebdbee749ca7eb9,Brand Marketing Professional,Bausch Health 서울,,find the unmet needs in trade and consumer Develop long term internal relationship with wide range of critical stakeholders...
https://kr.indeed.com/viewjob?jk=0a95fa194ddf1303,Integrated Logistics Support Analyst,"Systek, Inc. 대한민국",,"package, including health, dental, life, disability, and long- term care insurance effective on an employee’s date of hire..."
https://kr.indeed.com/viewjob?jk=21afd611824e8bc5,외국계 FMCG Brand Manager 과장급,허브커리어 서울특별시,,"brand strategy and brand plan in long term and short term including volume, profit... long term and short term including volume..."
https://kr.indeed.com/viewjob?jk=01343e50043fbd3b,tbs eFM Radio(101.3㎒) Part-time Job Open...,서울특별시 5.0 대한민국,,Openings Contract Term (Hours) Hiring... eFM radio broadcast programs... term of contract may be subject to renewal up...
https://kr.indeed.com/viewjob?jk=feb1b1346ea01166,Teller,US Department of Defense 4.2 대한민국,,Land & base management Certain current or former term or temporary federal employees of a land or base management agency...
https://kr.indeed.com/viewjob?jk=f8d2d279d8d93acd,New Business Manager (Hunter),S&P Global 서울,,e.g. S&P Global Platts Net Promoter Score) over the long term.” Requirements: Degree with minimum 3-5 years of successful...
https://kr.indeed.com/viewjob?jk=99e292623c77d9cc,Business Development Executive,Jade School 서울 • 원격 근무,,professionals that have a solid track record of creating long- term value for organizations. We are looking for leaders who...
https://kr.indeed.com/viewjob?jk=2d1923bd1305c3f6,"Accelerated Growth Consultant, Google Cu...",Google 4.3 서울,,sustainable and long term strategies... using product knowledge to drive long- term success for our customers. Convert new...
https://kr.indeed.com/viewjob?jk=e1c321e5500f68e5,"Senior Marketing Specialist, Pharma Serv...",Thermo Fisher Scientific 3.5 서울,,"Specialist is responsible for developing the short and long- term marketing strategy for Korea, and supporting the APAC Thermo..."
https://kr.indeed.com/viewjob?jk=99004e019b8e15c9,"Business Development Manager, Gaming - A...",Amazon Web Services Korea LLC 서울,,"Korea. You will identify short- term growth opportunities and lay the groundwork for long- term, strategic opportunities. Our..."
https://kr.indeed.com/viewjob?jk=5d9ccb303f6c2f18,"Senior KA Sales Manager, IVD",Success Korea 서울 강남구,,objectives. -Explore more business innovation and make long term business plan. -Responsible for customer group breakthrough...
https://kr.indeed.com/viewjob?jk=e768fc6ba1e62be1,Enterprise Sales Representative,Success Korea 서울,,studies. · Manage contract negotiations. · Develop long- term strategic relationships with key accounts. · Ensure customer...
https://kr.indeed.com/viewjob?jk=18dc3b9766b50cab,Key Account Manager (Officer),Success Korea 서울,,Co-work with w/s team in BO to control contracted deal term i.e. money collecting - Updating new product launch information...
https://kr.indeed.com/viewjob?jk=9a20d6836e358559,Field Sales Executive - Renewals,Wolters Kluwer 서울 여의도,,"build rapport with people easily, at any level, and develop long term relationships Well organized... strong attention..."
https://kr.indeed.com/viewjob?jk=88507e86dd77bb2f,Environment Health & Safety Specialist,Success Korea 경기도 안성,,resolve the management of all risks. ?Set annual and longer term plan in conjunction with management team for EHS activities...
https://kr.indeed.com/viewjob?jk=8b3e29f47525032a,외국계헤어사업부PR,Success Korea 서울 강남구,,담당직무 글로벌코스메틱 헤어사업부 PR /커뮤니케이션- JD참조 Develop short- term/ long- term communication strategy and execute strategic PR campaigns...
https://kr.indeed.com/viewjob?jk=977a6b41ab57e400,Digital/PR Specialist,Success Korea 서울,,격요건 담당직무 1. Draft and develop competitive short & long term digital strategy 2. Improve digital media spending effectiveness...
https://kr.indeed.com/viewjob?jk=51b01ccc49d7488e,Theme Park Business Developer,Theme Park N Attractions 경기도 용인,,"multi-national amusement/theme park companies Contract Term: 2yrs, but renewable. Compensation: Very competitive (Negotiable..."
https://kr.indeed.com/viewjob?jk=3f792a9daf6effcd,Locations for November Start at Korea's...,Chung Dahm Learning 4.0 대한민국,,class on average) all contracts... minimum one year term E2 sponsorship housing assistance (either rent-free housing...
https://kr.indeed.com/viewjob?jk=f1b4e7eabc2da592,Associate Vet Affair Manager (학술팀 팀장),Success Korea 서울 삼성역,,prioritized in order to maximize impact on short / long term BRMO. Principal Duties and Responsibilities ? Manages...
https://kr.indeed.com/viewjob?jk=e304a4395da93b3d,Sales & Marketing Director 총괄,에이치알 코리아 서울,,"sales & marketing... achievement of short and long term business objectives, increased profit, and market share through..."
https://kr.indeed.com/viewjob?jk=c61cb13e18538e03,AR Accountant (1 Year Contract),Success Korea 서울 청담동,,an open mind for new changes and system changes. [Long- Term Strategic Objectives] - Through process and skills improvement...
https://kr.indeed.com/viewjob?jk=397b3c2747313c18,Manager Customer Quality (m/f) South Kor...,Morgan Philips Executive Search 인천 송도동,,"degree in Science, Engineering or Pharmacy or a long- term professional experience in related fields - multiple years..."
https://kr.indeed.com/viewjob?jk=083328d23828c6f1,Cordis Associate Product Specialist,Cardinal Health 부산,,"Sales Manager, the role... responsible for developing long term positive customer relationships, which build loyalty..."
https://kr.indeed.com/viewjob?jk=190ab77496e92e6a,"Principal, Program Management (Finance)",Coupang 3.0 서울,,support the business growth... company's long- term vision. Roles & responsibilities include: Lead... support...
https://kr.indeed.com/viewjob?jk=a670dd6d3fc974c5,Marketing Director (임원급),Success Korea 서울,,"world class implementation to achieve long-, mid- and short term objectives... company [자격요건] - 13~16 years of work..."
https://kr.indeed.com/viewjob?jk=739a0ab3fdde8be5,PM,Success Korea 서울,,RESPONSIBILITIES/ACCOUNTABILITIES - Establish and manage a long term product strategy plan for concerned categories. - Define...
https://kr.indeed.com/viewjob?jk=f69bf99df08fa841,Technical Sales Manager,"Telestream, LLC 대한민국",,yearly target meanwhile develop channel to identify the long- term strategy... position will directly report to Korea...
https://kr.indeed.com/viewjob?jk=774c58f447c0fe75,"KR_HP_Medical Affairs Lead, Respiratory",Boehringer Ingelheim 4.1 대한민국,,"humans and animals... family owned company, we focus on long term performance. We are powered by 50,000 employees globally..."
https://kr.indeed.com/viewjob?jk=f9e7028161fe58e5,Emerging Channel Team Leader (부장급),Success Korea 서울 강남구,,e-commerce sales program - Develop and execute short & long- term e-commerce strategy and roadmap - Updates e-commerce market...
https://kr.indeed.com/viewjob?jk=61c21e8b3dc39133,Commercial Controller,Success Korea 대한민국,,업무내용/자격요건 담당직무 1. Planning and Forecasting ? Assist in long term strategic planning exercise by providing all financial data...
https://kr.indeed.com/viewjob?jk=e4efb05bff0fdb31,"Business Development specialist , Interv...",Success Korea 서울 강남구,,industry trends... impact on franchise short- term and long- term business plans to improve marketing and sales...
https://kr.indeed.com/viewjob?jk=5dc36fbdd42e5917,글로벌 EC그룹 E-Commerce 매니저 채용,Success Korea 서울 청담동,,business plans that result... establishment of a long term interactive... consumer ? Develop a plan and Lead global...
https://kr.indeed.com/viewjob?jk=cee37bd772c41aba,글로벌화장품 PR,Success Korea 서울 강남구,,채널 화장픔 브랜드) Key Job Accountabilities Develop short- term/ long- term communication strategy and execute strategic PR campaigns...
https://kr.indeed.com/viewjob?jk=6bac154509a94440,글로벌코스메틱PR,Success Korea 서울 강남구,,PR mgr’) 2. Key Job Accountabilities Develop short- term/ long- term communication strategy and execute strategic PR campaigns...
https://kr.indeed.com/viewjob?jk=b19c47ac5fc6e4c5,"Technical Account Manager, OEM Android P...",Google 4.3 서울,,"software, and build successful, long- term partnerships. Whether working with next... solutions for our long- term partners who..."
https://kr.indeed.com/viewjob?jk=481785fe5528a3ed,Senior Director of Strategy(전략기획이사),에이치알 코리아 서울,,"investment opportunities • Establish short, mid & long term investment and portfolio strategy and ute such strategy upon..."
https://kr.indeed.com/viewjob?jk=6b710ae340141ae8,Teaching Biz English Communication Skill...,Speaking Proficiency Enhancement Program 대한민국,,"2020 ~ January 2021 (at SPEP Apgujeong Center, Seoul) Short- term (4-month) contract available [Salary] Based on 160..."
https://kr.indeed.com/viewjob?jk=260c34b0770b4f61,Medical Representative,Success Korea 서울 강남구,,current and future business. Responds proactively to secure long term business performance. ·Empowers team members to meet...
https://kr.indeed.com/viewjob?jk=834446f082f8bd90,Business Development Manager,Success Korea 서울,,plans based upon business strategy... significant mid- term impact on business unit overall results. ? May lead important...
https://kr.indeed.com/viewjob?jk=c0f0f9f490cf74cb,Key Account Manager for EMI Shield,Success Korea 경기도 수원,,"term relation at various levels and disciplines, in order to maximize the value (top- and bottom-line) of short & long term..."
https://kr.indeed.com/viewjob?jk=ceea9006a76afc25,Public Sector Business Development Execu...,Success Korea 서울,,negotiations and liaison... legal group. - Develop long- term strategic partnerships in support of our key markets...
https://kr.indeed.com/viewjob?jk=d7ef3ccb4e9e0047,Sales Manager (Fairmont Ambassador Seoul...,FAIRMONT 서울 영등포구,,skills in both Korean and English • Focus on building long- term value based customer relationships that enable achievement...
https://kr.indeed.com/viewjob?jk=7ce637c32b62b162,ISR - 외국계 IT 솔루션 밴더사,Success Korea 서울 강남구,,skills. 8. Ability to develop long- term strategic and executive level relationships... develop long- term strategic and executive...
https://kr.indeed.com/viewjob?jk=ec15636a0b3b8e0e,Sales & Marketing Specialist,Success Korea 서울,,Company is a newly created legal entity offering Long Term as well as Short Term Rental. The company will constantly innovate...
https://kr.indeed.com/viewjob?jk=e6364eae3ad25cb8,Key Account Manager,Success Korea 서울 +1 지역,,sustain long term business relationships... aligning with company’s annual & mid- term business plan 2. Develop and implement...
https://kr.indeed.com/viewjob?jk=fb6c3ec6b1449077,Customer Success Specialist (CSS) - Camp...,Cisco Systems 4.1 서울,,make tactical and strategic deployment decisions and track long term business outcomes Drive adoption and expansion of Cisco...
https://kr.indeed.com/viewjob?jk=db15f9fff4d03f36,Business Development Director (1 year co...,Klook 서울,,"suppliers, and create merchant success plans for long term sustainable partnership. Provide training and daily operational..."
https://kr.indeed.com/viewjob?jk=f85432aa9863b62b,Senior AE (EBU HF) 모집,Success Korea 서울 강남구,,our customers in ways that would lead to long term business relationships and long term business growth - Review customers...
https://kr.indeed.com/viewjob?jk=8e2a2c8d6e740611,외대어학원 영어강사,(주)대구외대어연 대구 북구,"연봉 24,000,000원","있습니다. 휴 가: 여름휴가, 겨울휴가가 주말 포함 각각 5일정도 제공됩니다. 주중휴가: 수요일 기준 Mid- Term, Final Test 기간을 이용하여 연차별로 휴가가 제공 될 수 있습니다. 연차휴가: 장기근무자에게..."
https://kr.indeed.com/viewjob?jk=e5555cbf0318d173,Global Sales Lead - Workplace Transforma...,Dell Technologies 4.0 서울,,accounts and managing Korean multinationals globally through long- term strategic interactions involving C-Level relationship...
https://kr.indeed.com/viewjob?jk=0fbc59d8c122aa5c,"Account Manager, Digital Native Business...",Amazon Web Services Korea LLC 서울,,"business... environment, and managing a team to build long- term business and marketing opportunities... ideal..."
https://kr.indeed.com/viewjob?jk=51881c46961396ba,글로벌화장품PR,Success Korea 서울 강남구,,채널 화장픔 브랜드) Key Job Accountabilities Develop short- term/ long- term communication strategy and execute strategic PR campaigns...
https://kr.indeed.com/viewjob?jk=b044ba7f90e2493f,Mortuary Officer,US Department of the Army 4.3 대한민국,,Land & base management Certain current or former term or temporary federal employees of a land or base management agency...
https://kr.indeed.com/viewjob?jk=899da529209fa80f,Account Manager,聯發科技 경기도 성남,,proactive/strategic approach and maintain on-going biz for long- term partnership with clients. 3. Manage biz proposal/FCST...
https://kr.indeed.com/viewjob?jk=43bf0c7e2b10e9b5,Operations Manager (운영팀장) - 한국,Beam 서울,,highly adaptable candidate who is able to switch between long- term strategic initiatives one moment and pivot into rapid...
https://kr.indeed.com/viewjob?jk=b56c0b727af03d18,Luxury Brand Global eCommerce,Success Korea 서울 강남구,,business plans that result... establishment of a long term interactive... consumer ?Develop a plan and Lead global...
https://kr.indeed.com/viewjob?jk=692d21ba2e496983,Marketing Director,Success Korea 서울 양재역,,"Responsible for developing and implementing short- term marketing plans and long- term marketing strategies, consistent..."
https://kr.indeed.com/viewjob?jk=a30204f2cfe3aaab,"Senior, Backend Engineer (Search Infrast...",Coupang 3.0 서울,,design an extensible system to serve both short term and long term needs and implement it incrementally Excellent...
https://kr.indeed.com/viewjob?jk=99f25dd2418d7378,National Sales and Marketing Manager,Kuehne+Nagel 서울,,new sales opportunities. + To establish and maintain long term sustainable partnerships with customers and service providers...
https://kr.indeed.com/viewjob?jk=a2283c35d995d125,Communication Assistant Manager,Success Korea 서울,,corporate social responsibility activities and plans for long- term business support. 자격조건> -Hold track record of progressive...
https://kr.indeed.com/viewjob?jk=481bbfa17024b45b,유럽계글로벌 자동차부품제조사 application engineer 차부장...,에이치알 코리아 대한민국,,Support the overall specifc strategy defined to ensure long term sustainable and profitable growth... dedicated customer...
https://kr.indeed.com/viewjob?jk=0dc96cb47e66a253,Account Manager Fashion,Lectra 서울,,"new prospects Develop and manage long term customer relationship and strengthen... business development, long and short term"
https://kr.indeed.com/viewjob?jk=b37be9a2ddc990ca,Trade Marketing Representative,British American Tobacco 4.4 경기도,,management Grade: NM Job Type: Fixed Term Contractual Legal Entity: BAT Korea... Drive and manage a long term relationship...
https://kr.indeed.com/viewjob?jk=3216f996524a7cd5,[Medical Devices] Associate CEM Manager,Johnson & Johnson Family of Companies 4.2 서울,,3 roles in terms of long- term customer strategy development and short- term deliverable execution. [Responsibilities] 1...
https://kr.indeed.com/viewjob?jk=1c9eff526f40bc59,"Account Manager, OEM Solutions Business...",Trimble 서울,,exploring new horizons and building long term OEM partnerships. We work together... develop long- term business partnerships...
https://kr.indeed.com/viewjob?jk=19ec0e2fc12486ff,TPE Specialist,Korean Chemical Company 대한민국,,time position. Only consultation... asked. The contract term... 1 year. Candidates... only asked to stay...
https://kr.indeed.com/viewjob?jk=eecbde14edf0a285,Technical Account Manager in Automotive...,MathWorks 서울,,customer’s workflow Develop and maintain long- term End User Relationships by providing excellent technical/customer service...
https://kr.indeed.com/viewjob?jk=56aafb22c10bcbba,"Senior Solutions Account Manager, Korea",Unity Technologies 서울,,"our main client liaison, helping us create and nurture long- term partnerships that produce industry-changing advances..."
https://kr.indeed.com/viewjob?jk=2a809f8ef919aec1,Corporate Business Development & Strateg...,Success Korea 서울 서초동,,joint ventures... 3) assisting... development of long- term strategy for RNTS divisions which include mobile platforms...
https://kr.indeed.com/viewjob?jk=00a259b1ddbf5788,"E-Commerce Opportunities 매니저, 팀장 채용",Success Korea 서울 청담동,,business plans that result... establishment of a long term interactive... consumer - Develop a plan and Lead global...
https://kr.indeed.com/viewjob?jk=797f59b6d805d189,"Global EC그룹 E-Commerce 매니저,팀장급 채용",Success Korea 서울 청담동,,business plans that result... establishment of a long term interactive... consumer ? Develop a plan and Lead global...
https://kr.indeed.com/viewjob?jk=50bcf09a6d37903e,Fresh Operations Planning Lead / 신선 오퍼레이...,Coupang 3.0 서울,,center 5. Exposure to production planning (Short term and long term) or supply chain planning 6. Intermediate English...
https://kr.indeed.com/viewjob?jk=1a5ce69e5b453156,Applications engineer (RTL),Synopsys 경기도 용인,,significant projects that affect the organization's long- term goals and objectives Creates formal networks involving...
https://kr.indeed.com/viewjob?jk=bb81cb4ae49cf6cc,Global Sales Lead - Workplace Transformation,Dell Technologies 4.0 서울,,accounts and managing Korean multinationals globally through long- term strategic interactions involving C-Level relationship...
https://kr.indeed.com/viewjob?jk=04bed05fc1b3b740,HR Manager채용,Success Korea 서울 강남구,,law; - Develop HR plans... CEO to ensure short- and long- term staff requirements; - Provide effective induction...
https://kr.indeed.com/viewjob?jk=89a7a39688e67803,Channel Sales Manager (over 7 years),Success Korea 경기도 부천,,"sales activities to achieve short (monthly, quarterly) and long term (yearly) business objectives which maximise profits..."
https://kr.indeed.com/viewjob?jk=c2c76ec2dcddb7e5,"Principal, Operations Research (Logistic...",Coupang 3.0 서울,,"requires an aptitude for taking initiative, thinking long- term, and delivering results to drive innovation in logistics..."
https://kr.indeed.com/viewjob?jk=5f2ec6641a0fd4d2,Army Emergency Relief Specialist,US Department of the Army 4.3 대한민국,,Land & base management Certain current or former term or temporary federal employees of a land or base management agency...
https://kr.indeed.com/viewjob?jk=73993960c5037de8,글로벌 EC 주니어급 매니저 채용,Success Korea 서울 청담동,,business plans that result... establishment of a long term interactive... consumer ?Develop a plan and Lead global...
https://kr.indeed.com/viewjob?jk=4ee9b10f8019087b,Senior AE (EBU SI) 모집,Success Korea 서울 강남구,,our customers in ways that would lead to long term business relationships and long term business growth - Review customers...
https://kr.indeed.com/viewjob?jk=438623c0fc4feb75,Finance controller(ASAP),Success Korea 경기도 성남 +1 지역,,balance sheet through daily review and clean-up of long term open items ? Establish and maintain effective internal controls...
https://kr.indeed.com/viewjob?jk=55550c10886fb3a4,Finance Manager (12 Month Fixed Term),Success Korea 서울,,채용제목 Finance Manager (12 Month Fixed Term) (지원마감) 회사소개 외국계 투자 회사 업무내용/자격요건 담당직무 Managing financial reporting and Tax...
https://kr.indeed.com/viewjob?jk=34487dc5cdbe7abb,Product Owner,KidsLoop 서울,,Humble Starts... customer unmet need (both short and long term) Brings a point-of-view supported by variety of data...
https://kr.indeed.com/viewjob?jk=053c6c1495ac57bf,Assistant Brand Manager,Success Korea 서울,,annual and long term marketing objectives... targets over the short and long term - Development of plans- ABM is responsible...
https://kr.indeed.com/viewjob?jk=ac52a5a70be8df89,Sr Systems Administrator I,Raytheon Intelligence & Space 대한민국,,"fill a long- term position... Global... test. Interface with customers on short- term and long- term technical, operational..."
https://kr.indeed.com/viewjob?jk=7363f826593542e4,Brand Manager (4~7 years),Success Korea 서울 여의도역,,Capabilities - annual & mid-long term business planning - analytic skills... annual & mid-long term business planning...
https://kr.indeed.com/viewjob?jk=3dd0a1756c755cc4,Automotive Market Senior Business Partne...,W. L. Gore & Associates 3.8 서울,,"Korea. You will drive share, revenue, and long term business results by influencing and negotiating... through..."
https://kr.indeed.com/viewjob?jk=eec986531b9e6643,Financial Analyst,Success Korea 서울 마포구,,"detailed business modeling, for both short term (monthly forecast) and long term (strategic planning), translating clinical..."
https://kr.indeed.com/viewjob?jk=103d85e02ba724ed,Senior Solution Sales Executive-SAP ARIB...,SAP 4.3 서울,,"passionate about customer success, customer delight, and long- term customer relationships Outcome focused... role..."
https://kr.indeed.com/viewjob?jk=5348b633ec879766,Industry Process Consultant (PLM Tech),Dassault Systèmes 4.1 서울,,Involve Marketing Activities... activation of long- term business Maintain / Improve skills & VAR(Reseller) Enablement...
https://kr.indeed.com/viewjob?jk=854826bede69f7eb,"Partner Account Manager, Korea - Industr...",Unity Technologies 서울,,"responsible for building, maintaining, and managing long- term relationships with Unity's current and prospective channel..."
https://kr.indeed.com/viewjob?jk=dc2836c8ad5452d9,Renewals Sales Specialist - Digital Expe...,Adobe 서울,,"identifying decision makers, and building long- term customer relationships by establishing trust and credibility. Highly..."
https://kr.indeed.com/viewjob?jk=4fa2fdf0a5275a1c,Sr Marketing Dev Specialist,Medtronic 3.9 대한민국,,"develops, and implements near- term and long- term business strategies relating... substantiate long- term prospects..."
https://kr.indeed.com/viewjob?jk=9513133aee79f774,Business Development Manager,SDL 서울,,identify and gather new clients for SDL To build a strong long term pipeline Deliver revenue growth goals established...
https://kr.indeed.com/viewjob?jk=670ba63e5ac61687,Technical Consultant,Elanco 서울,,"goal of linking Elanco, products and services... long term business needs... accounts. Co-ordinate with colleagues..."
https://kr.indeed.com/viewjob?jk=2bb8ac5f43507145,Intern - Science and Technology,United Nations ESCAP 인천,,commission of any... acts. The term “sexual exploitation” means any actual... conditions. The term “sexual harassment...
https://kr.indeed.com/viewjob?jk=3548340e36ea936b,Sales Expert - Client Exec. (SK),Dassault Systèmes 4.1 서울,,"get customer commitment on a long- term business transformation. Be aligned... short, mid, long term account strategy..."
